DATE		COUNTRY		TOTAL		DEATHS		RECOVERED	TIME

04/06/20	india		4553		118		328		 8:18 PM
04/07/20	india		4858		136		382		 2:07 PM
04/07/20	india		4911		137		382		 8:14 PM
04/10/20	india		6771		228		635		12:45 PM
04/11/20	india		7997		249		774		 8:34 PM
04/14/20	india		10541		358		1205		 1:02 PM
04/18/20	india		14792		488		2045		 7:23 PM
04/18/20	india		14792		488		2045		 7:25 PM
04/24/20	india		23502		722		5012		 3:39 PM
04/24/20	india		23502		722		5012		 3:41 PM
04/24/20	india		23502		722		5012		 3:48 PM
04/24/20	india		23502		722		5012		 4:18 PM
07/08/21	india		30663665		404240		29799534		 3:14 AM
07/08/21	india		30663665		404240		29799534		 3:19 AM
